CLEAR CAUSES
NoReleaseCause = 0
UnAllocatedNumber = 1
RouteSelectFailure = 2
NormalCompetion = 16
TerminationBusy = 17
noUserResponse = 18
DestinationOutOfOrder = 27
GeneralReleaseCall = 31
ResourceUnAvailable = 47
TemporaryFailure = 41
SwitchingEqCongestion = 42
DestinationIsBusy = 43
NoCIC = 44
CallIdentityInUse = 84
EndScript = 100
ScriptFailure = 101
ScriptReachedTimeOut = 102
ScriptReachedMaxInstances = 103
InvalidScript = 104
On_SLEE_GoingDown = 105
ScriptReachedMaxSteps = 106
ScriptNotFound = 107
ScriptMemoryAllocation = 108
ScriptDuplicateSession = 109
CongestionRelease = 120
GeneralAbnormalRelease = 121
InternalAbnormalRelease = 122
ResetCircuitRelease = 123
FirstPrepaidReleaseCause = 400
specialAnnouncment = 401
invalidAccount (A wallet was found and no account is connected to it) = 402
invalidDestination = 406
insufficientCredit = 407
maximumCallDurationTimerExpires = 410
SubscriberAccountGotEmpty = 411
SubscriberNotTracedFromCLI = 412
SubscriberIsSuspended = 413
SubscriberHoldMoreThen2Calls = 414
PP_Internal_Error = 415
PP_LostConnectionToMC = 416
ProhibitedBillingParamsVector = 418
TariffEngineTimeout = 419
ReleasedJobId = 420
DisconnectPeer = 421
OutgoingFromGroupDisabled = 423
SubscribersTableLocked = 424
On_MC_Switchover = 426
FromStandbyMC = 427
ManualRelease = 428
BlockedTariff = 429
InvalidClassOfService = 430
InvalidCurrency = 431
InvalidLocationCode = 433
InsufficientDeposit = 434
InvalidAccountProfile = 435
InvalidWalletType = 436
WalletPlanNotFound = 437
WalletNotFound = 438
TimeTypeNotFound = 439
AccountNotFound = 440
ChargeAboveWalletLimit = 441
CreditReachedMax = 442
TariffTypeMismatch = 443
SubscriberAccountBelowDepositLimit = 444
SubsStatusNotFound = 446
InvalidCosProductType = 447
InvalidBillingParamsVector = 448
GetTariffEntryNoBestMatch = 449
NoPricingPackageLayout = 450
SubsDoesNotHavePermissions = 451
InvalidProductType = 452
ReachedMaxChargeableAmount = 453
AbandonedCall = 454
GetWalletPlanNoBestMatch = 455
TariffMissMatch = 456
SubscriberIsInTransactionProcess = 457
AbnormalAnswerAndReleaseTimes = 458
InputIsNull = 459
SessionAllocatingFailed = 460
ExceededMaxSessionsLicenseLimit = 461
AddSessionToHashFailed = 462
SessionNotFoundInSessionsHash = 463
InvalidClusterId = 464
SessionTimeOut = 465
SessionTimeOutWithNoAnswer = 466
CosProductWalletParamsNotFound = 467
CosWalletTypeParamsNotFound  = 468
WalletTypeParamsNotFound = 469
InvalidTransactionKey  = 470
ProductTypeMismatch  = 471
NegativeTimeOut  = 472
FailedToAcivateSubscriber = 473
NoServicePlanLayout  = 474
NoProductGuidingLayout  = 475
GetProductEntryNoBestMatch = 476
ProductEntryNotFound  = 477
CycleInstanceNotFound = 478
VersionNotFound = 479
EventParamsToRatingParamsFailed = 480
CosEventParamsToRatingParamsFailed = 481
GetProductTypeNoBestMatch  = 482
GetReferenceTableNoBestMatch = 483
CalendarNotFound = 484
TariffEngineNotFound = 485
ParentSubscriberNotFound = 486
EndOfWalletPlan = 487
RerateMismatchEventRefNumber = 488
RerateRatingOfOnlineEvent = 489
RerateSubscriberWasModified = 490
RerateSubscriberNotFound = 491
RerateFailedToAllocateDuplicateSubs = 492
RerateFailedToAddDupSubsToHash = 493
RerateNoSnapshotFound = 494
RerateMismatchInSubsHierarchyList = 495
IlegalTaxCalculationMethod = 496
IlegalTaxType = 497
SystemBundleNotFound = 498
SystemCounterNotFound = 499
SystemPromotionNotFound = 500
FailedToGetBundle = 501
ReconciliationDataMissing = 502
FailedToGetPromotion = 503
NoQuotaGuidingLayout = 504
GetQuotaItemNoBestMatch = 505
QuotaItemNotFound = 506
QuotaItemUOMMissmatch = 507
ServiceSessionAlreadyExists = 508
QuotaInvalidFlow  = 509
RequestNumberFromNetworkLessThenPrimarySessionCurrentRequestNumber = 510
serviceSessionOfPrimarySessionNotFound = 511
USUMissmatch = 512
CannotAddNewQuotaCodeToSession = 513
PrimarySessionExpiredDueToInactivityTimer = 514
PrimarySessionExpiredDueToSessionTimer = 515
PrimarySessionExpiredDueToBillingCycleSwitch = 516
InvalidChangeOfUOMDuringSession = 517
PrimarySessionSubsIdMismatch = 518
RSUBelowQuotaMinSize = 519
FailedToCalculateAmountNotCharged = 520
LastPrepaidReleaseCause = 600
